index,성분명,임부금기(등급),비고,허가사항,,,,,,,,,,,,,,,
512,Repaglinide,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 초기흡수 증가 및 흉골 분절과 상지, 하지, 척추 및 두개골의 골화지연 보고.",,,,,,,,,,,,,,,
513,Retapamulin,2등급,연고제 포함,"임부에 대한 안전성 미확립. 
동물실험에서 경구투여 후 생식독성 보고.",,,,,,,,,,,,,,,
514,Ribavirin,1등급,"흡입제, 크림제 포함","동물시험에서 심각한 기형형성(두개골, 구개, 눈, 턱, 사지, 뼈, 위장관 기형) 및 태아독성 보고.",,,,,,,,,,,,,,,
515,Riluzole,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
516,Risedronate,2등급,,동물시험에서 분만기 모체 저칼슘혈증 및 태자의 골화 효과 가능성 보고.,,,,,,,,,,,,,,,
517,Risperidone,2등급,,"임부에 대한 안전성 미확립.
임신 3기에 투여시 신생아에서 추체외로장애, 금단증상의 위험 가능성.
동물실험에서 생식 능력과 태자의 생존율 감소 보고.",,,,,,,,,,,,,,,
518,Rituximab,2등급,,태어난 유아 일부에서 일시적인 B세포 고갈 및 림프구감소증 보고.,,,,,,,,,,,,,,,
519,Rivaroxaban,2등급,,"임부에 대한 안전성 미확립. 
동물실험에서 약리학적 작용 양식(예, 출혈성 합병증)과 관련된 태반변화와 함께 뚜렷한 모독성(생식독성 유발) 보고.",,,,,,,,,,,,,,,
520,Roflumilast,2등급,,"임부에 대한 안전성 미확립. 
동물실험에서 태반통과, 생식독성 보고.",,,,,,,,,,,,,,,
521,Ropinirole,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 불임, 유산, 유즙분비억제 보고, 과량투여시 태자사망 증가, 기형 등 보고.",,,,,,,,,,,,,,,
522,Rosuvastatin,1등급,,"임부에 대한 안전성 미확립.
태아 발육에 필수적인 콜레스테롤의 생합성 감소 가능성.
동물실험에서 제한된 생식독성 보고.",,,,,,,,,,,,,,,
523,Rotigotine,2등급,패취제 포함,"임부에 대한 안전성 미확립.
동물실험에서 배아독성 보고.",,,,,,,,,,,,,,,
524,Salsalate,2등급,,"임신중 투여에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 최기형 작용, 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
525,Sarpogrelate,2등급,,동물시험에서 태자 사망률 증가 및 신생자 생존율 저하 보고.,,,,,,,,,,,,,,,
526,Saxagliptin,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 고용량 투여시 골반의 불완전 골화 및 발달지연, 모자독성 및 태아 체중감소, 경미한 골격변이 보고.",,,,,,,,,,,,,,,
527,Selegiline,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
528,Senna ex.,2등급,,대황의 자궁 수축 작용 혹은 골반내 장기의 유출작용에 의해 유조산의 위험 가능성.,,,,,,,,,,,,,,,
529,Sennoside,2등급,,-,,,,,,,,,,,,,,,
530,Simvastatin,1등급,,태아 발육에 필수적인 콜레스테롤의 생합성 감소 가능성.,,,,,,,,,,,,,,,
531,Sitagliptin,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
532,Sodium iodide (I-131),1등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
533,Sodium salicylate,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 동맥관수축, 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
534,Sorafenib,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 기형 및 배태아 독성(착상 후 손실 증가, 재흡수, 골격지연, 태아의 체중증가지연) 보고.",,,,,,,,,,,,,,,
535,Sotalol,2등급,,태반통과 및 비정상적인 신생아 체중 보고.,,,,,,,,,,,,,,,
536,Sparfloxacin,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
537,Spironolactone,2등급,,동물실험에서 기형발생 가능성 보고.,,,,,,,,,,,,,,,
538,Stanozolol,1등급,,여성 태아의 남성화 가능성.,,,,,,,,,,,,,,,
539,Streptococcus pyogenes,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
540,Streptomycin,2등급,,신생아에 제8뇌신경장애 가능성.,,,,,,,,,,,,,,,
541,Strontium ranelate,2등급,,"임부에 대한 안전성 미확립. 
동물실험에서 고용량 투여시 태자의 뼈에 가역적인 영향 보고.",,,,,,,,,,,,,,,
542,Sulfadoxine + pyrimethamine,"2등급
(클로로퀸 저항성 말라리아 치료시 제외)",,"동물실험에서 기형발생 및 엽산대사 저해 보고.
피리메타민은 사람 골수와 실험실 동물에서 돌연변이성 보고.",,,,,,,,,,,,,,,
543,Sulindac,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 동맥관 수축, 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
544,Sulpiride,2등급,,"동물실험에서 태자 기형발생위험 보고.
임신 3기에 투여시 신생아에서 추체외로장애, 금단증상(초조, 근육긴장항진 또는 저하, 진전 등) 보고.",,,,,,,,,,,,,,,
545,Sumatriptan,2등급,,"임신 2기, 3기 중 투여에 대한 안전성 미확립.",,,,,,,,,,,,,,,
546,Sunitinib,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 배태자 치사 및 구조이상(근골격이상, 구순열 및 구개열) 보고.",,,,,,,,,,,,,,,
547,Tacrolimus,2등급,연고제 포함,"임부에 대한 안전성 미확립.
태아에 고칼륨혈증 및 신기능장애 나타남.
동물실험에서 최기형 작용, 유산증가, 모체독성, 생존감소 등 보고.",,,,,,,,,,,,,,,
548,Tafluprost,2등급,점안제 포함,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
549,Talniflumate,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
550,Tamoxifen,2등급,,"자연유산, 선천성결손, 태아사망 보고.",,,,,,,,,,,,,,,
551,Tegafur,2등급,,동물실험에서 최기형성 작용 보고.,,,,,,,,,,,,,,,
552,Tegafur + Uracil 배합제,2등급,,동물실험에서 기형발생 보고.,,,,,,,,,,,,,,,
553,Tegafur +Gimeracil+Oteracil potassium,2등급,,"기형아 출산 보고.
동물실험에서 태아의 내장이상, 골격이상, 화골지연 등 보고.",,,,,,,,,,,,,,,
554,Telmisartan,2등급,,"임신 2기 및 3기에 투여시 태아 및 신생아에 저혈압, 신생아 두골형성부전, 무뇨, 신부전, 양수과소증(태아사지경축, 두개안면기형, 폐형성저하증과 관련) 및 사망과 관련됨.",,,,,,,,,,,,,,,
555,Temocapril,2등급,,"임신 중기 및 말기에 ACE저해제 투여시 양수과소증(사지의 경축, 두개안면변형과 관련), 태아 및 신생아 사망, 신생아 저혈압, 신부전, 고칼륨혈증, 두개형성부전 등 가능성.",,,,,,,,,,,,,,,
556,Temozolomide,2등급,,동물실험에서 기형발생 또는 태아독성 보고.,,,,,,,,,,,,,,,
557,Temsirolimus,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 배태아 독성(태아 사망 및 골격 골화지연과 관련 있는 태아 체중감소) 및 최기형성 효과(배꼽탈장) 보고.",,,,,,,,,,,,,,,
558,Teneligliptin,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
559,Tenoxicam,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 동맥관수축, 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
560,Terlipressin,2등급,,"자궁평활근 수축으로 임신 4개월 전 낙태 유발 가능성.
자궁의 혈액공급장애로 태아손상 가능성.",,,,,,,,,,,,,,,
561,Testosterone,1등급,겔제 포함,여성 태아의 남성화 초래 가능성.,,,,,,,,,,,,,,,
562,Tetracycline ,2등급,,"태자에 일과성 골발육부전, 영구적 치아착색, 법랑질형성부전 보고.
동물실험에서 태자독성(주로 골격발달지연과 관련) 및 배자독성 보고.",,,,,,,,,,,,,,,
563,Thalidomide,1등급,,"단 1캡슐의 1회 용량 복용으로도 심각한 선천성 기형(사지결손(사지의 결여), 단지증(짧은 사지), 뼈의 저형성증, 외이의 이상(무이증, 귓바퀴가 작은 것, 외이도가 작거나 없는 것 포함), 안면마비, 눈의 이상(무안구증, 소안구증) 및 선천성 심장결함 등) 또는 유산 보고.
출생시 또는 출생 직후 사망률 약 40%로 보고.",,,,,,,,,,,,,,,
564,Thiocolchicoside,2등급,,태아 위해 가능성.,,,,,,,,,,,,,,,
565,Thiocolchicoside + Aescin,2등급,,태아 위해 가능성.,,,,,,,,,,,,,,,
566,Thiotepa,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 기형유발과 태자독성, 정자형성 및 난소기능 저해 보고.",,,,,,,,,,,,,,,
567,Thiothixene,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 태자독성(태자사망 등) 보고.
임신말기나 분만중 다른 항정신병약 투여시 신생아에서 기면, 진전, 과흥분성 보고.
임신 3기에 투여시 신생아에서 추체외로장애, 금단증상(초조, 근육긴장항진 또는 저하, 진전 등) 보고.",,,,,,,,,,,,,,,
568,"Thymopentin
=Thymopoietin
=Thymus hormone",2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
569,Tiaprofenic acid,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 동맥관수축, 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
570,Tibolone,1등급,,동물실험에서 태자독성 보고.,,,,,,,,,,,,,,,
571,Ticagrelor,2등급,,동물실험에서 생식독성 보고.,,,,,,,,,,,,,,,
572,Tigecycline,2등급,,테트라사이클린계 항생제와 같이 이 약은 임신 2-3분기 동안 투여할 때 영구적인 젖니 변색 및 가역적인 뼈 성장 억제를 유발할 수 있음. 기관 형성 기간 동안 임신한 랫트 및 토끼에게 사람에서 권장된 임상용량의 각각 5배 및 1배에 해당하는 노출 시 태자의 체중 감소 및 부골격이상(골화의 지연) 발생률 증가와 연관있음.,,,,,,,,,,,,,,,
573,Tobramycin,"2등급
",,신생아에 제8뇌신경장애 가능성.,,,,,,,,,,,,,,,
574,Tocilizumab,2등급,,"임부에 대한 안전성 미확립. 
동물실험에서 고용량 투여시 자연유산, 배태아 사망 위험 증가 보고.",,,,,,,,,,,,,,,
575,Tolfenamic acid,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 동맥관수축, 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
576,Tolmetin,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 동맥관수축, 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
577,Tolvaptan,2등급,,"동물실험에서 구개열, 소지증, 소안구증, 골격기형, 태아 체중감소, 태아 골화지연, 배·태자 사망 보고.",,,,,,,,,,,,,,,
578,Topiramate,2등급,,"선천성기형(구순열, 구개열, 두개안면결손, 요도밑열림증 등)의 위험 증가 및 높은 유병률(저체중 출생) 보고.",,,,,,,,,,,,,,,
579,Topotecan,2등급,,"동물실험에서 모체독성, 배자사망, 태아 체중감소 및 기형발생율 증가(눈(소안구증, 무안구증, 망막에 로제태 생성, 망막결손증, 안구일소증), 뇌(측면 및 제3뇌실의 확장), 두개골, 척수기형) 보고.",,,,,,,,,,,,,,,
580,Toremifene,2등급,,"동물실험에서 생식독성, 태자독성(사망, 발육부진, 내장/골격이상, 출생시 생식장애), 임신유지 및 분만장애 등의 생식장애 보고.",,,,,,,,,,,,,,,
581,Torsemide,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
582,Tosufloxacin,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
583,Trabectedin,2등급,,"임부에 대한 안전성 미확립.
작용기전에 따른 중대한 선천성 결함 유발 가능성.",,,,,,,,,,,,,,,
584,Trafermin,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
585,Tramadol ,2등급,,"임부에 대한 안전성 미확립.
동물 실험에서 돌연변이성, 발암성, 생식독성 보고.
임신 말기 고용량 단기 투여시 신생아의 호흡억제 가능성.
임신중 장기 투여시 신생아에게 금단증상 야기 가능성.",,,,,,,,,,,,,,,
586,Tranilast,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 대량 투여시 골격이상의 증가 보고.",,,,,,,,,,,,,,,
587,Trastuzumab,2등급,,양수과소증(치명적인 폐형성저하증 초래)과 관련있는 태아의 신장 발달 및/또는 기능 장애 보고.,,,,,,,,,,,,,,,
588,Travoprost,2등급,점안제 포함,"임부에 대한 안전성 미확립.
동물실험에서 최기형성(흉골, 원개형 두부, 수두증 및 골격계기형 등) 보고.
착상 후 손실 증가 및 태자 생존률 감소.",,,,,,,,,,,,,,,
589,Treprostinil,2등급,,동물실험에서 과용량 투여시 태아 골격변이 발생 증가.,,,,,,,,,,,,,,,
590,Tretinoin,1등급,"크림제, 겔제, 연고제, 외용액제 포함","(경구)
기형발생 작용 높음.
(외용)
임부에 대한 안전성 미확립.
임부에 국소적용한 후 태어난 신생아에서 결손 보고.",,,,,,,,,,,,,,,
591,Triamcinolone,2등급,,"동물실험에서 기형발생 작용 보고.
태아의 성장지체, 언청이의 위험 등의 증가, 뇌성장 및 발달에 영향 가능성. 신생아에 부신부전증 유발 가능성.",,,,,,,,,,,,,,,
592,Triamterene,2등급,,동물시험에서 태반 통과 보고.,,,,,,,,,,,,,,,
593,Triazolam,1등급,,"벤조디아제핀계 약물의 최기형성 사례(대조군에 비해 높음), 신생아 포유곤란, 근긴장저하, 졸음, 황달 증가 및 분만전 연용시 신생아 금단증상(신경과민, 진전, 과다긴장 등) 보고.",,,,,,,,,,,,,,,
594,Trifluoperazine,2등급,,"동물실험에서 태자독성(태자사망, 유산, 조산 등) 보고.
임신 3기에 투여시 신생아에서 추체외로장애, 금단증상(초조, 근육긴장항진 또는 저하, 진전 등) 보고.",,,,,,,,,,,,,,,
595,Triptorelin,"1등급

",,"<한국페링제약 : 데카펩틸 데포, 데카펩틸주0.1밀리그람>
<한국입센 : 디페렐린피알3.75밀리그람주>
임부에 대한 안전성 미확립.
동물실험에서 뇌하수체 종양증가, 배태자독성(배태자 발달, 분만지연) 보고.

<한국입센 : 디페렐린피알주11.25밀리그람>
임부에 대한 안전성 미확립.
동물실험에서 모체독성 및 배자독성 보고.",,,,,,,,,,,,,,,
596,Tropisetron,2등급,,"동물실험에서 임신률, 임신기간 감소, 고용량 투여시 배아독성 및 발달부전 보고.",,,,,,,,,,,,,,,
597,Ubenimex,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
598,Ulipristal,1등급,,-,,,,,,,,,,,,,,,
599,Valganciclovir,2등급,,"임부에 대한 안전성 미확립.
동물시험에서 돌연변이원성, 최기형성, 정자무발생증 및 발암성 보고.",,,,,,,,,,,,,,,
600,Valproic acid,2등급,,-,,,,,,,,,,,,,,,
601,Valsartan,2등급,,"임신 2~3기에 ACE저해제 투여시 태아 및 신생아의 저혈압, 고칼륨혈증, 신생아 두개골 발육부전, 무뇨증, 신부전, 양수과소증(태아사지구축, 두개안면기형, 폐발육부전과 관련 있음) 및 사망과 관련됨.",,,,,,,,,,,,,,,
602,Vemurafenib,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
603,Verapamil,2등급,,"동물실험에서 모체의 체중증가 억제, 저혈압 유발 등 모체에 대한 유해한 영향에 의한 태자의 발육 및 성장지연과 사망 보고.",,,,,,,,,,,,,,,
604,Vigabatrin,2등급,,"임부에 대한 안전성 미확립.
선천성기형, 자연유산 보고.",,,,,,,,,,,,,,,
605,Vildagliptin,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 고용량 투여시 생식독성 및 태아독성 보고.",,,,,,,,,,,,,,,
606,Vinblastine,2등급,,동물실험에서 기형발생 보고.,,,,,,,,,,,,,,,
607,Vincristine,2등급,,"동물실험에서 태자흡수, 기형발생 보고. ",,,,,,,,,,,,,,,
608,Vinorelbine,2등급,,"동물실험에서 배·태자치사, 기형발생 보고.",,,,,,,,,,,,,,,
609,Vismodegib,2등급,,"동물실험에서 배자치사성(유산, 태자의 100% 초기재흡수) 및 기형(손가락 발가락이 없거나 융합, 회음부 개방, 두개안면이상)과 지체 혹은 변이(팽창된 신우, 팽창된 요관과 흉골, 척추의 중추, 첫마디 뼈 및 갈퀴의 불완전하고 골화되지 않은 이상) 보고.",,,,,,,,,,,,,,,
610,Vitamin A(레티놀) 함유제제,"1등급
(단, VitA(레티놀)로서 5000 I.U/1일 이상)
",점안제 포함,"(경구) 
임신초기 3개월간 고용량 투여시 최기형 가능성.
(점안)
임부에 대한 안전성 미확립.
",,,,,,,,,,,,,,,
611,Voglibose,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
612,Voriconazole,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 생식독성 관찰됨.",,,,,,,,,,,,,,,
613,Vorinostat,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 생존 태자의 평균 체중감소, 두개골·흉부척추골·흉골분절·기타 각종 뼈 부위(경부늑골, 과잉늑골, 척추 뼈 개수, 엉치뼈 변형)의 골화 미완성 및 용량의존적 담낭형성기형 보고.",,,,,,,,,,,,,,,
614,Warfarin,1등급,,"태아의 출혈 또는 자궁내 사망, 형성부전 및 점상 연골 발육부전 등 선천성 기형 초래 보고.",,,,,,,,,,,,,,,
615,Zaltoprofen,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 동맥관수축, 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
616,Ziprasidone,2등급,,"임부에 대한 안전성 미확립.
임신 3기에 투여시 신생아에서 추체외로장애, 금단증상(초조, 근육긴장항진 또는 저하, 진전 등) 보고.",,,,,,,,,,,,,,,
617,Zofenopril,2등급,,-,,,,,,,,,,,,,,,
618,Zoledronic acid,2등급,,"동물실험에서 최기형성, 모체독성 보고.",,,,,,,,,,,,,,,
619,Zolmitriptan,2등급,,"임부에 대한 안전성 미확립.
태아의 생명력 저하로 볼 수 있는 경우 보고.",,,,,,,,,,,,,,,
620,Zonisamide,2등급,,"동물실험에서 최기형성 보고.
심실사이막결손, 심방사이막결손 및 호흡기계이상 보고.",,,,,,,,,,,,,,,
621,Zotepine,2등급,,동물실험에서 신생자의 사망률 증가 보고.,,,,,,,,,,,,,,,
622,Zuclopenthixol,2등급,,"임부에 대한 안전성 미확립.
임신말기나 분만중 복용시 신생아에서 기면, 진전, 과흥분성 가능성.
동물실험에서 태자사망, 유산, 조산 등의 태자독성 보고.",,,,,,,,,,,,,,,
623,약독황열생바이러스백신,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
624,Tofacitinib,2등급,,"고용량을 투여한 동물실험에서 태자손실, 최기형성, 출생 후 생존 및 새끼 체중 감소함",,,,,,,,,,,,,,,
625,Etoricoxib,2등급,,"동물실험에서 기형발생을 포함한 생식독성 나타남
프로스타글란딘 합성을 저해하는 다른 약물과 마찬가지로 임신 말기에 투여 시 자궁 무력증을 일으키거나 태아의 동맥관 조기 폐쇄 가능",,,,,,,,,,,,,,,
626,Tapentadol,2등급,,과다한 약리작용을 초래하는 용량에서 발생 지연 및 배태자 독성 관찰,,,,,,,,,,,,,,,
627,Afatinib,2등급,,"임부에 대한 안전성 미확립
동물실험에서 모체 독성 유발 보고",,,,,,,,,,,,,,,
628,Tertomotide,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
629,Denosumab,1등급 ,,"임부에 대한 안전성 미확립
동물실험에서 생식 독성(림프절 결여, 비정상적 뼈 성장 및 신생아 성장 저하, 유산, 사산 또는 출생 후 사망) 보고",,,,,,,,,,,,,,,
630,Florbetaben (18F),2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
631,Umeclidinium + Vilanterol,2등급,흡입제 포함,동물실험에서 고용량을 흡입 투여 시 생식발생 독성 나타남,,,,,,,,,,,,,,,
632,Bupropion,2등급,,"임부에 대한 안전성 미확립
선천성 심혈관계 기형 위험 증가 보고",,,,,,,,,,,,,,,
633,Loratadine,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
634,Alitretinoin,1등급,,기형아 유발성(최기형성)이 매우 높음,,,,,,,,,,,,,,,
635,Clarithromycin,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
636,Dirithromycin,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
637,Erythromycin,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
638,Erythromycin + Acetylsulfisoxazole,2등급,," (Erythromycin)
 임부에 대한 안전성 미확립
 (Acetylsulfisoxazole)
 동물실험에서 최기형성이 인정됨",,,,,,,,,,,,,,,
639,Erythromycin + Colistin ,2등급,"점안제, 안연고제 포함",임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
640,Kitasamycin,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
641,Midecamycin,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
642,Rokitamycin,2등급,,"동물실험에서 모체 동물에 묽은 변, 체중 억제 나타남. 생아수 감소
임부에 대한 안전성 미확립",,,,,,,,,,,,,,,
643,Roxithromycin,2등급,,동물실험에서 태자의 외표이상 및 골격이상의 발현빈도가 대조군에 비하여 높다는 보고 있음,,,,,,,,,,,,,,,
644,Arbekacin,2등급,,"동물실험에서 출생아의 발육지연 인정
신생아에게 제8뇌신경장애를 일으킬 수 있음",,,,,,,,,,,,,,,
645,Astromicin,2등급,,신생아에게 제8뇌신경장애를 일으킬 수 있음,,,,,,,,,,,,,,,
646,Isepamicin,2등급,,"신생아에게 제8뇌신경장애(특히, 비가역성 양측성 선천성 난청)를 일으킬 수 있음",,,,,,,,,,,,,,,
647,Micronomicin,2등급,,신생아에게 제8뇌신경장애를 일으킬 수 있음,,,,,,,,,,,,,,,
648,Ribostamycin,2등급,,신생아에게 제8뇌신경장애를 일으킬 수 있음,,,,,,,,,,,,,,,
649,Sisomicin,2등급,,신생아에게 제8뇌신경장애를 일으킬 수 있음,,,,,,,,,,,,,,,
650,Teicoplanin,2등급,,랫트에 고용량 투여 시 사산과 신생자 치사율 증가,,,,,,,,,,,,,,,
651,Vancomycin ,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
652,Clindamycin,2등급,"외용액제, 겔제 포함",임부에 대한 안전성 미확립 ,,,,,,,,,,,,,,,
653,Clindamycin + Benzoyl Peroxide,2등급,겔제 포함,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
654,Lincomycin ,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
655,Chloramphenicol ,"(주사제) 1등급
(점안제) 2등급",,"태아에 회색증후군, 청색증, 조혈기계이상 및 골수억제 초래 가능
동물실험에서 유?조산, 생존율 저하, 기형발생 등 태자독성 보고",,,,,,,,,,,,,,,
656,Chloramphenicol + Dexamethasone + Tetrahydrozoline,2등급,점안제 포함,"동물시험에서 태자독성 및 손상 관찰
임부에 대한 안전성 미확립",,,,,,,,,,,,,,,
657,Thiamphenicol,2등급,,-,,,,,,,,,,,,,,,
658,Pefloxacin,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
659,Ertapenem,2등급,,동물실험에서 천미골척추의 골형성 감소 관찰,,,,,,,,,,,,,,,
660,Imipenem + Cilastatin,2등급,,"동물실험(고농도)에서 태아체중감소, 배아소실 증가 보고
임부에 대한 안전성 미확립",,,,,,,,,,,,,,,
661,Meropenem,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
662,Panipenem + Betamipron,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
663,Aztreonam,2등급,,"태반을 통과하여 태아 순환계내로 흡수
임부에 대한 안전성 미확립",,,,,,,,,,,,,,,
664,Colistin,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
666,Fusidic Acid,2등급,,태반관문을 통과,,,,,,,,,,,,,,,
667,Linezolid,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
668,Rifaximin,2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
669,Spectinomycin,2등급,,"임부에 대한 안전성 미확립
동물실험에서 와우전정기관 질환 및 신기능이상 발생",,,,,,,,,,,,,,,
670,Avanafil,1등급,,"여성에게 사용할 수 없음
동물실험에서 태자 체중 감소, 유산율 증가, 차산자 체중 감소, 모체 체중 및 사료 섭취량 감소 나타남",,,,,,,,,,,,,,,
671,Mirodenafil,1등급,구강붕해필름 포함,"여성에게 사용할 수 없음
동물실험에서 골격변이의 태자독성, 체중증가 억제 나타남",,,,,,,,,,,,,,,
672,Sildenafil,"1등급
(폐동맥고혈압 치료시 제외)",구강붕해필름 포함,"여성에게 사용할 수 없음
동물실험에서 착상률, 수컷 태자의 체중 감소, 한배새끼수 감소 나타남",,,,,,,,,,,,,,,
673,Tadalafil,1등급,구강붕해필름 포함,여성에게 사용할 수 없음,,,,,,,,,,,,,,,
674,Udenafil,1등급,,"여성에게 사용할 수 없음
동물실험에서 골격변이, 골화지연, 차산자의 사산, 신체발육부진 나타남",,,,,,,,,,,,,,,
675,Vardenafil,1등급,,"여성에게 사용할 수 없음
동물실험에서 구개안면골 기형, 흉골, 척추, 늑골의 변이, 차산자의 신체발달 지체 관찰됨",,,,,,,,,,,,,,,
676,Ephedrine,2등급,,태아의 심박수 및 심장박동 변동성 증가,,,,,,,,,,,,,,,
677,Terbutaline,2등급,흡입제 포함,"(정제) 
임부에 대한 안전성 미확립
심각한 이상반응(심장박동 증가, 일시적 고혈당증, 저칼륨증, 심장부정맥, 폐부종 및 심근허혈) 및 태아의 심장박동 증가, 신생아 폐부종 발생 보고
(흡입제) 
임부에 대한 안전성 미확립",,,,,,,,,,,,,,,
678,Edoxaban,2등급,,"동물시험에서 생식독성 관찰
임부에서의 안전성 및 유효성 미확립 ",,,,,,,,,,,,,,,
679,Codeine,2등급,,"동물실험에서 기형발생 보고
마약성 진통제는 태아순환계로 쉽게 이행되어 신생아 호흡억제 유발 가능
조산아가 예상되는 경우에는 사용 금기
신생아에서 육체적인 마약 의존성 또는 마약 금단증상 나타날 수 있음",,,,,,,,,,,,,,,
680,Mesalazine ,2등급,"좌제, 관장제, 포말제 포함","(서방정, 관장제, 포말)
임부에 대한 안전성 미확립
신생아에서 혈액 질환(범혈구감소증, 백혈구감소증, 혈소판감소증, 빈혈), 신부전 등 보고
(정제, 장용정, 과립제, 좌제)
임부에 대한 안전성 미확립",,,,,,,,,,,,,,,
681,Olodaterol + Tiotropium,2등급,흡입제 포함,"임부에 대한 안전성 미확립
올로다테롤과 같은 베타-아드레날성 효능제의 자궁수축억제 작용을 고려해야 함",,,,,,,,,,,,,,,
682,Flutemetamol (18F),2등급,,임부에 대한 안전성 미확립,,,,,,,,,,,,,,,
683,Lenvatinib,2등급,,"임부에 대한 안전성 미확립
랫드 및 토끼에서 배아독성 및 최기형성 보임",,,,,,,,,,,,,,,
