Drug Name,Category,Classification Level 1,Classification Level 2,Classification Level 3,,,,,,,,,,,,,,
filgrastim,B3,Blood and Haemopoietic System,Haemopoietic agents,,,,,,,,,,,,,,,
finasteride,X,Drugs used in Dermatology,Topical,,,,,,,,,,,,,,,
finasteride,X,Genitourinary System,Prostate hyperplasia,,,,,,,,,,,,,,,
fingolimod,D,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
flecainide,B3,Cardiovascular System,Antiarrhythmics,,,,,,,,,,,,,,,
fleroxacin,B3,Antimicrobials,Antibiotics,Quinolones,,,,,,,,,,,,,,
flucloxacillin,B1,Antimicrobials,Antibiotics,Penicillins,,,,,,,,,,,,,,
fluconazole,D,Antimicrobials,Antifungal agents (see also topical antifungals),,,,,,,,,,,,,,,
flucytosine,B3,Antimicrobials,Antifungal agents (see also topical antifungals),,,,,,,,,,,,,,,
fludarabine,D,Antineoplastic Agents,Antibiotic cytotoxic agents,,,,,,,,,,,,,,,
fludrocortisone (systemic),C,Endocrine System,Corticosteroids,Systemic,,,,,,,,,,,,,,
fludrocortisone (topical),A,Endocrine System,Corticosteroids,Topical,,,,,,,,,,,,,,
flumazenil,B3,"Detoxifying Agents, Antidotes",,,,,,,,,,,,,,,,
flumetasone,A,Endocrine System,Corticosteroids,Topical,,,,,,,,,,,,,,
flunisolide,B3,Endocrine System,Corticosteroids,Inhalation/intranasal,,,,,,,,,,,,,,
flunitrazepam,C,Central Nervous System,Benzodiazepines,,,,,,,,,,,,,,,
fluocinolone,A,Endocrine System,Corticosteroids,Topical,,,,,,,,,,,,,,
fluocortolone,A,Endocrine System,Corticosteroids,Topical,,,,,,,,,,,,,,
fluorescein sodium (systemic),B2,Ophthalmic Drugs,,,,,,,,,,,,,,,,
fluorometholone,B3,Ophthalmic Drugs,,,,,,,,,,,,,,,,
fluorouracil,D,Antineoplastic Agents,Antimetabolites,,,,,,,,,,,,,,,
fluoxetine,C,Central Nervous System,Antidepressants,Selective serotonin reuptake inhibitors (SSRIs),,,,,,,,,,,,,,
fluoxymesterone,D,Endocrine System,Androgens and anabolic steroids,,,,,,,,,,,,,,,
flupenthixol,C,Central Nervous System,Antipsychotic drugs,,,,,,,,,,,,,,,
fluphenazine,C,Central Nervous System,Antipsychotic drugs,Phenothiazines,,,,,,,,,,,,,,
flurazepam,C,Central Nervous System,Benzodiazepines,,,,,,,,,,,,,,,
flurbiprofen,C,Ophthalmic Drugs,,,,,,,,,,,,,,,,
fluticasone furoate,B3,Endocrine System,Corticosteroids,Inhalation/intranasal,,,,,,,,,,,,,,
fluticasone furoate / vilanterol trifenatate,B3,Respiratory System,Inhalational agents,Preventative aerosols and inhalations,,,,,,,,,,,,,,
fluticasone propionate,B3,Respiratory System,Inhalational agents,Preventative aerosols and inhalations,,,,,,,,,,,,,,
fluticasone propionate / eformoterol fumarate,B3,Respiratory System,Inhalational agents,,,,,,,,,,,,,,,
fluticasone propionate / salmeterol xinafoate,B3,Respiratory System,Inhalational agents,,,,,,,,,,,,,,,
fluvastatin,D,Cardiovascular System,Hypolipidaemic agents,,,,,,,,,,,,,,,
fluvoxamine,C,Central Nervous System,Antidepressants,Selective serotonin reuptake inhibitors (SSRIs),,,,,,,,,,,,,,
folic acid,A,Blood and Haemopoietic System,,,,,,,,,,,,,,,,
folinic acid (leucovorin),A,Blood and Haemopoietic System,,,,,,,,,,,,,,,,
follicle stimulating hormone (recombinant human),B3,Endocrine System,Ovulation inducers,Gonadotrophins,,,,,,,,,,,,,,
follitropin alfa,D,Endocrine System,Pituitary hormones,,,,,,,,,,,,,,,
follitropin beta,B2,Endocrine System,Pituitary hormones,,,,,,,,,,,,,,,
follitropin delta,D,Endocrine System,Pituitary hormones,,,,,,,,,,,,,,,
fomepizole,B2,"Detoxifying Agents, Antidotes",,,,,,,,,,,,,,,,
fomivirsen,B2,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
fondaparinux,C,Cardiovascular System,Anticoagulants and thrombolytic agents,,,,,,,,,,,,,,,
formoterol,B3,Respiratory System,Inhalational agents,Bronchospasm relaxants,,,,,,,,,,,,,,
fosamprenavir,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
fosaprepitant,B2,Antineoplastic Agents,Non-cytotoxic supportive therapy,,,,,,,,,,,,,,,
foscarnet,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
fosfomycin trometamol,B2,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
fosinopril,D,Cardiovascular System,Antihypertensives,Angiotensin converting enzyme (ACE) inhibitors,,,,,,,,,,,,,,
fotemustine,D,Antineoplastic Agents,Alkylating agents,,,,,,,,,,,,,,,
framycetin,D,Antimicrobials,Antibiotics,Aminoglycosides,,,,,,,,,,,,,,
fremanezumab,B1,Central Nervous System,,,,,,,,,,,,,,,,
frusemide (furosemide),C,Cardiovascular System,Diuretics,"Thiazides, related diuretics and loop diuretics",,,,,,,,,,,,,,
fulvestrant,D,Antineoplastic Agents,Hormonal antineoplastic agents,,,,,,,,,,,,,,,
furosemide,C,Cardiovascular System,Diuretics,"Thiazides, related diuretics and loop diuretics",,,,,,,,,,,,,,
fusidic acid,C,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
FVIII inhibitor bypassing fraction,B2,Cardiovascular System,Haemostatic agents,,,,,,,,,,,,,,,
gabapentin,B3,Central Nervous System,Anticonvulsants/antiepileptics,,,,,,,,,,,,,,,
gadobenate,B3,Diagnostic Agents,Radiographic agents,,,,,,,,,,,,,,,
gadobutrol,B3,Diagnostic Agents,,,,,,,,,,,,,,,,
gadodiamide,B3,Diagnostic Agents,Radiographic agents,,,,,,,,,,,,,,,
gadofosveset,B3,Diagnostic Agents,Radiographic agents,,,,,,,,,,,,,,,
gadopentetate dimeglumine,B2,Diagnostic Agents,Radiographic agents,,,,,,,,,,,,,,,
gadoteridol,B3,Diagnostic Agents,Radiographic agents,,,,,,,,,,,,,,,
gadoversetamide,B3,Diagnostic Agents,Radiographic agents,,,,,,,,,,,,,,,
gadoxetate,B3,Diagnostic Agents,Radiographic agents,,,,,,,,,,,,,,,
galactose with palmitic acid,B2,Diagnostic Agents,Radiographic agents,,,,,,,,,,,,,,,
galantamine,B1,Cholinergic and Anticholinergic Agents,,,,,,,,,,,,,,,,
galcanezumab,B1,Central Nervous System,,,,,,,,,,,,,,,,
gallamine,C,Drugs Used in Anaesthesia,Neuromuscular blocking agents,,,,,,,,,,,,,,,
galsulfase,B3,Metabolism,Agents used for the treatment of metabolic disorders,,,,,,,,,,,,,,,
ganciclovir,D,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
ganirelix,D,Endocrine System,Pituitary inhibitors,,,,,,,,,,,,,,,
gatifloxacin,B3,Antimicrobials,Antibiotics,Quinolones,,,,,,,,,,,,,,
gefitinib,C,Antineoplastic Agents,Tyrosine kinase inhibitors,,,,,,,,,,,,,,,
gelatin - succinylated,B3,Cardiovascular System,,,,,,,,,,,,,,,,
gemcitabine,D,Antineoplastic Agents,Antimetabolites,,,,,,,,,,,,,,,
gemeprost,B3,Genitourinary System,Agents acting on the uterus,,,,,,,,,,,,,,,
gemfibrozil,B3,Cardiovascular System,Hypolipidaemic agents,,,,,,,,,,,,,,,
gemtuzumab ozogamicin,D,Antineoplastic Agents,Monoclonal antibodies,,,,,,,,,,,,,,,
gentamicin,D,Antimicrobials,Antibiotics,Aminoglycosides,,,,,,,,,,,,,,
gestoden,B3,Endocrine System,Progestogens (see also oral contraceptives),,,,,,,,,,,,,,,
gestrinone,D,Endocrine System,Pituitary inhibitors,,,,,,,,,,,,,,,
glatiramer,B1,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
glecaprevir / pibrentasvir,B1,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
glibenclamide,C,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
glibenclamide / metformin,C,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
gliclazide,C,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
glimepiride,C,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
glipizide,C,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
glucagon,B3,"Detoxifying Agents, Antidotes",,,,,,,,,,,,,,,,
glyceryl trinitrate,B2,Cardiovascular System,Antiangina agents,,,,,,,,,,,,,,,
glyceryl trinitrate,B2,Cardiovascular System,Vasodilators,,,,,,,,,,,,,,,
glycopyrronium bromide,B2,Alimentary System,Antispasmodics,,,,,,,,,,,,,,,
glycopyrronium bromide,B2,Cholinergic and Anticholinergic Agents,,,,,,,,,,,,,,,,
glycopyrronium bromide,B3,Respiratory System,Inhalational agents,Bronchospasm relaxants,,,,,,,,,,,,,,
golimumab,C,Allergy and immune System,Immunomodifiers,,,,,,,,,,,,,,,
gonadotrophin - human chorionic,A,Endocrine System,Ovulation inducers,Gonadotrophins,,,,,,,,,,,,,,
gonadotrophin - human menopausal,C,Endocrine System,Ovulation inducers,Gonadotrophins,,,,,,,,,,,,,,
goserelin,D,Antineoplastic Agents,Hormonal antineoplastic agents,,,,,,,,,,,,,,,
goserelin,D,Endocrine System,Pituitary hormones,,,,,,,,,,,,,,,
granisetron,B1,Central Nervous System,"Antiemetics, antinauseants",,,,,,,,,,,,,,,
griseofulvin,D,Antimicrobials,Antifungal agents (see also topical antifungals),,,,,,,,,,,,,,,
guaifenesin,A,Respiratory System,Expectorants and mucolytics,,,,,,,,,,,,,,,
guanethidine,A,Cardiovascular System,Antihypertensives,,,,,,,,,,,,,,,
guanfacine hydrochloride,B3,Central Nervous System,,,,,,,,,,,,,,,,
guselkumab,B1,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
Haemophilus influenzae type b conjugate vaccine,B2,Vaccines,Killed vaccines,,,,,,,,,,,,,,,
Haemophilus influenzae type b-meningococcal group C conjugate vaccine,B2,Vaccines,Killed vaccines,,,,,,,,,,,,,,,
halcinonide,A,Endocrine System,Corticosteroids,Topical,,,,,,,,,,,,,,
haloperidol,C,Central Nervous System,Antipsychotic drugs,Butyrophenones,,,,,,,,,,,,,,
halothane,A,Drugs Used in Anaesthesia,General anaesthetics,,,,,,,,,,,,,,,
heparin,C,Cardiovascular System,Anticoagulants and thrombolytic agents,,,,,,,,,,,,,,,
hepatitis A - hepatitis B vaccine,B2,Vaccines,Killed vaccines,,,,,,,,,,,,,,,
hepatitis A - typhoid vaccine,B2,Vaccines,Killed vaccines,,,,,,,,,,,,,,,
hepatitis A vaccine,B2,Vaccines,Killed vaccines,,,,,,,,,,,,,,,
hepatitis B vaccine,B2,Vaccines,Killed vaccines,,,,,,,,,,,,,,,
homatropine,B2,Ophthalmic Drugs,,,,,,,,,,,,,,,,
house dust mite allergen extract,B2,Allergy and Immune System,,,,,,,,,,,,,,,,
human papillomavirus vaccine,B2,Vaccines,Killed vaccines,,,,,,,,,,,,,,,
hydralazine,C,Cardiovascular System,Antihypertensives,,,,,,,,,,,,,,,
hydrochlorothiazide,C,Cardiovascular System,Diuretics,"Thiazides, related diuretics and loop diuretics",,,,,,,,,,,,,,
hydrocortisone,A,Endocrine System,Corticosteroids,Systemic,,,,,,,,,,,,,,
hydromorphone,C,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),Opioid analgesics,,,,,,,,,,,,,,
hydroxycarbamide,D,Antineoplastic Agents,Antimetabolites,,,,,,,,,,,,,,,
hydroxychloroquine,D,Musculoskeletal System,Antirheumatoid agents,,,,,,,,,,,,,,,
hydroxychloroquine (antimalarial),D,Antimicrobials,Antimalarials,,,,,,,,,,,,,,,
hydroxyprogesterone,D,Endocrine System,Progestogens (see also oral contraceptives),,,,,,,,,,,,,,,
hydroxyurea (hydroxycarbamide),D,Antineoplastic Agents,Antimetabolites,,,,,,,,,,,,,,,
hydroxyzine,A,Allergy and Immune System,Antihistamines,,,,,,,,,,,,,,,
hyoscine,B2,Central Nervous System,"Antiemetics, antinauseants",,,,,,,,,,,,,,,
hyoscine,B2,Cholinergic and Anticholinergic Agents,,,,,,,,,,,,,,,,
hyoscine hydrobromide,B2,Central Nervous System,"Antiemetics, antinauseants",,,,,,,,,,,,,,,
hyoscine methobromide,A,Cholinergic and Anticholinergic Agents,,,,,,,,,,,,,,,,
hyoscine-N-butylbromide,B2,Alimentary System,Antispasmodics,,,,,,,,,,,,,,,
hyoscine-N-butylbromide,B2,Cholinergic and Anticholinergic Agents,,,,,,,,,,,,,,,,
hyoscyamine,B2,Alimentary System,Antidiarrhoeals,,,,,,,,,,,,,,,
hyoscyamine,B2,Cholinergic and Anticholinergic Agents,,,,,,,,,,,,,,,,
ibandronate,B3,Endocrine System,Agents affecting calcium and bone metabolism,Bisphosphonates,,,,,,,,,,,,,,
ibrutinib,D,Antineoplastic Agents,Tyrosine kinase inhibitors,,,,,,,,,,,,,,,
ibuprofen,C,Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),,,,,,,,,,,,,,,
ibutilide,B3,Cardiovascular System,Antiarrhythmics,,,,,,,,,,,,,,,
icatibant,C,Cardiovascular System,,,,,,,,,,,,,,,,
idarubicin,D,Antineoplastic Agents,Antibiotic cytotoxic agents,,,,,,,,,,,,,,,
idarucizumab,B2,Cardiovascular System,,,,,,,,,,,,,,,,
idelalisib,D,Antineoplastic Agents,,,,,,,,,,,,,,,,
idoxuridine (ophthalmic),B3,Ophthalmic Drugs,,,,,,,,,,,,,,,,
idoxuridine (topical),B1,Drugs used in Dermatology,Topical antiviral,,,,,,,,,,,,,,,
idursulfase,B2,Metabolism,Agents used for the treatment of metabolic disorders,,,,,,,,,,,,,,,
ifosfamide,D,Antineoplastic Agents,Alkylating agents,,,,,,,,,,,,,,,
iloprost,B3,Cardiovascular System,Vasodilators,,,,,,,,,,,,,,,
imatinib,D,Antineoplastic Agents,Tyrosine kinase inhibitors,,,,,,,,,,,,,,,
imiglucerase,B2,Metabolism,Agents used for the treatment of metabolic disorders,,,,,,,,,,,,,,,
imipenem with cilastatin,B3,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
imipramine,C,Central Nervous System,Antidepressants,Tricyclic antidepressants,,,,,,,,,,,,,,
imiquimod,B1,Drugs used in Dermatology,Topical antiviral,,,,,,,,,,,,,,,
inactivated influenza vaccine (pandemic),B2,Vaccines,Killed vaccines,,,,,,,,,,,,,,,
inactivated influenza vaccine (pre-pandemic),B2,Vaccines,Killed vaccines,,,,,,,,,,,,,,,
"inactivated influenza vaccine (seasonal), split, trivalent or quadrivalent",A,Vaccines,Killed vaccines,,,,,,,,,,,,,,,
"inactivated influenza vaccine (seasonal), surface antigen, trivalent or quadrivalent",B1 or B2 (depending on brand of vaccine),Vaccines,Killed vaccines,,,,,,,,,,,,,,,
incobotulinumtoxinA,B3,Musculoskeletal System,Muscle relaxants,,,,,,,,,,,,,,,
indacaterol,B3,Respiratory System,Inhalational agents,Bronchospasm relaxants,,,,,,,,,,,,,,
indacaterol maleate / glycopyrronium bromide,B3,Respiratory System,Inhalational agents,,,,,,,,,,,,,,,
indacaterol/glycopyrronium,B3,Respiratory System,Inhalational agents,Bronchospasm relaxants,,,,,,,,,,,,,,
indapamide,C,Cardiovascular System,Diuretics,"Thiazides, related diuretics and loop diuretics",,,,,,,,,,,,,,
indigo carmine,B2,Genitourinary System,,,,,,,,,,,,,,,,
indinavir,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
indometacin,C,Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),,,,,,,,,,,,,,,
infliximab,C,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
influenza virus A (H1N1) / influenza virus A (H3N2) / influenza virus B (Yamagata lineage) / influenza virus B (Victoria lineage) quadrivalent vaccine (live attenuated),B1,Vaccines,Live attenuated virus vaccines,,,,,,,,,,,,,,,
ingenol,B3,Drugs used in Dermatology,Topical,,,,,,,,,,,,,,,
Inotuzumab ozogamicin,D,Antineoplastic Agents,Monoclonal antibodies,,,,,,,,,,,,,,,
insulin aspart,A,Endocrine System,Hypoglycaemic agents,Insulins,,,,,,,,,,,,,,
insulin aspart / insulin degludec,B3,Endocrine System,Hypoglycaemic agents,Insulins,,,,,,,,,,,,,,
insulin detemir,A,Endocrine System,Hypoglycaemic agents,Insulins,,,,,,,,,,,,,,
insulin glargine,B3,Endocrine System,Hypoglycaemic agents,Insulins,,,,,,,,,,,,,,
insulin glulisine,B3,Endocrine System,Hypoglycaemic agents,Insulins,,,,,,,,,,,,,,
insulin lispro,A,Endocrine System,Hypoglycaemic agents,Insulins,,,,,,,,,,,,,,
interferon alpha-2a,B3,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
interferon alpha-2b,B3,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
interferon beta-1a,D,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
interferon beta-1b,D,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
interferon gamma-1b,B3,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
iodixanol,B1,Diagnostic Agents,Radiographic agents,,,,,,,,,,,,,,,
iodoform with bismuth subnitrate,D,Drugs used in Dermatology,"Topical antifungals, antiseptics (see also antifungal agents)",,,,,,,,,,,,,,,
iomeprol,B3,Diagnostic Agents,Radiographic agents,,,,,,,,,,,,,,,
iopromide,B2,Diagnostic Agents,Radiographic agents,,,,,,,,,,,,,,,
ioversol,B1,Diagnostic Agents,Radiographic agents,,,,,,,,,,,,,,,
ipecacuanha,A,Respiratory System,Expectorants and mucolytics,,,,,,,,,,,,,,,
ipilimumab,C,Antineoplastic Agents,Monoclonal antibodies,,,,,,,,,,,,,,,
ipratropium bromide,B1,Respiratory System,Inhalational agents,Bronchospasm relaxants,,,,,,,,,,,,,,
irbesartan,D,Cardiovascular System,Antihypertensives,Angiotensin II receptor antagonists and renin inhibitors,,,,,,,,,,,,,,
irinotecan,D,Antineoplastic Agents,,,,,,,,,,,,,,,,
irinotecan (nanoliposomal as sucrosofate),D,Antineoplastic Agents,,,,,,,,,,,,,,,,
iron [as ferric derisomaltose] (parenteral),B3,Blood and Haemopoietic System,,,,,,,,,,,,,,,,
iron polymaltose (oral),A,Blood and Haemopoietic System,,,,,,,,,,,,,,,,
iron polymaltose (parenteral),A,Blood and Haemopoietic System,,,,,,,,,,,,,,,,
iron sucrose (parenteral),B3,Blood and Haemopoietic System,,,,,,,,,,,,,,,,
isatuximab,C,Antineoplastic Agents,Monoclonal antibodies,,,,,,,,,,,,,,,
isavuconazole,D,Antimicrobials,Antifungal,,,,,,,,,,,,,,,
isoconazole,B2,Genitourinary System,Topical vaginal medication,,,,,,,,,,,,,,,
isoflurane,B3,Drugs Used in Anaesthesia,General anaesthetics,,,,,,,,,,,,,,,
isoniazid,A,Antimicrobials,Antituberculotics and antileprotics,,,,,,,,,,,,,,,
isoprenaline,A,Cardiovascular System,Adrenergic stimulants,,,,,,,,,,,,,,,
isoprenaline,A,Respiratory System,Inhalational agents,Bronchospasm relaxants,,,,,,,,,,,,,,
isosorbide dinitrate,B1,Cardiovascular System,Antiangina agents,,,,,,,,,,,,,,,
isosorbide dinitrate,B1,Cardiovascular System,Vasodilators,,,,,,,,,,,,,,,
isosorbide mononitrate,B2,Cardiovascular System,Antiangina agents,,,,,,,,,,,,,,,
isotretinoin (systemic),X,Drugs used in Dermatology,Systemic,,,,,,,,,,,,,,,
isotretinoin (topical),D,Drugs used in Dermatology,Topical,,,,,,,,,,,,,,,
isoxsuprine,C,Cardiovascular System,Vasodilators,,,,,,,,,,,,,,,
isradipine,C,Cardiovascular System,Antihypertensives,Calcium channel blockers,,,,,,,,,,,,,,
itraconazole,B3,Antimicrobials,Antifungal agents (see also topical antifungals),,,,,,,,,,,,,,,
ivabradine,D,Cardiovascular System,Antiangina agents,,,,,,,,,,,,,,,
ivacaftor,B3,Respiratory System,Inhalational agents,,,,,,,,,,,,,,,
ivermectin,B3,Antimicrobials,Anthelmintics,,,,,,,,,,,,,,,
ixazomib,C,Antineoplastic Agents,,,,,,,,,,,,,,,,
ixekizumab,C,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
Japanese encephalitis vaccine (inactivated),B1,Vaccines,Killed vaccines,,,,,,,,,,,,,,,
"Japanese encephalitis vaccine (live, attenuated)",B2,Vaccines,Live attenuated virus vaccines,,,,,,,,,,,,,,,
kanamycin,D,Antimicrobials,Antibiotics,Aminoglycosides,,,,,,,,,,,,,,
ketamine,B3,Drugs Used in Anaesthesia,General anaesthetics,,,,,,,,,,,,,,,
ketoconazole,B3,Antimicrobials,Antifungal agents (see also topical antifungals),,,,,,,,,,,,,,,
ketoprofen,C,Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),,,,,,,,,,,,,,,
ketorolac,C,Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),,,,,,,,,,,,,,,
ketotifen,B1,Ophthalmic Drugs,,,,,,,,,,,,,,,,
labetalol,C,Cardiovascular System,Beta-adrenergic blocking agents,,,,,,,,,,,,,,,
lacosamide,B3,Central Nervous System,Anticonvulsants/antiepileptics,,,,,,,,,,,,,,,
lamivudine,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
lamotrigine,D,Central Nervous System,Anticonvulsants/antiepileptics,,,,,,,,,,,,,,,
lanadelumab,B1,Cardiovascular System,,,,,,,,,,,,,,,,
lanreotide,C,Endocrine System,Pituitary hormones,,,,,,,,,,,,,,,
lansoprazole,B3,Alimentary System,"Hyperacidity, reflux, ulcers",,,,,,,,,,,,,,,
lanthanum,B3,"Detoxifying Agents, Antidotes",,,,,,,,,,,,,,,,
lapatinib,C,Antineoplastic Agents,Tyrosine kinase inhibitors,,,,,,,,,,,,,,,
laronidase,B2,Metabolism,Agents used for the treatment of metabolic disorders,,,,,,,,,,,,,,,
larotrectinib,D,Antineoplastic Agents,Tyrosine kinase inhibitors,,,,,,,,,,,,,,,
latanoprost,B3,Ophthalmic Drugs,,,,,,,,,,,,,,,,
latanoprost / timolol,C,Ophthalmic Drugs,,,,,,,,,,,,,,,,
lauromacrogol,B3,Cardiovascular System,,,,,,,,,,,,,,,,
ledipasvir,B1,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
ledipasvir / sofosbuvir,B1,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
ledipasvir / sofosbuvir with ribavirin,X,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
leflunomide,X,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
lenalidomide,X,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
lenograstim,B3,Blood and Haemopoietic System,Haemopoietic agents,,,,,,,,,,,,,,,
lenvatinib,D,Antineoplastic Agents,Tyrosine kinase inhibitors,,,,,,,,,,,,,,,
lepirudin,B3,Cardiovascular System,Anticoagulants and thrombolytic agents,,,,,,,,,,,,,,,
lercanidipine,C,Cardiovascular System,Antihypertensives,Calcium channel blockers,,,,,,,,,,,,,,
lesinurad,B1,Musculoskeletal System,Agents used in gout and hyperuricaemia,,,,,,,,,,,,,,,
letermovir,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
letrozole,D,Antineoplastic Agents,Hormonal antineoplastic agents,,,,,,,,,,,,,,,
leuprorelin,D,Antineoplastic Agents,Hormonal antineoplastic agents,,,,,,,,,,,,,,,
levamisole,B3,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
levetiracetam,B3,Central Nervous System,Anticonvulsants/antiepileptics,,,,,,,,,,,,,,,
levobunolol,C,Cardiovascular System,Beta-adrenergic blocking agents,,,,,,,,,,,,,,,
levobunolol (ophthalmic),C,Ophthalmic Drugs,,,,,,,,,,,,,,,,
levobupivacaine,B3,Drugs Used in Anaesthesia,Local anaesthetics,,,,,,,,,,,,,,,
levocabastine,B3,Allergy and Immune System,Antihistamines,,,,,,,,,,,,,,,
levocabastine (ophthalmic),B3,Ophthalmic Drugs,,,,,,,,,,,,,,,,
levocetirizine,B2,Allergy and Immune System,Antihistamines,,,,,,,,,,,,,,,
levodopa,B3,Central Nervous System,Antiparkinson agents,,,,,,,,,,,,,,,
levonorgestrel,B3,Contraceptive Agents,Oral contraceptives,,,,,,,,,,,,,,,
levonorgestrel / ethinyloestradiol,B3,Contraceptive Agents,Oral contraceptives,,,,,,,,,,,,,,,
lidocaine,A,Cardiovascular System,Antiarrhythmics,,,,,,,,,,,,,,,
lidocaine,A,Drugs Used in Anaesthesia,Local anaesthetics,,,,,,,,,,,,,,,
lifitegrast,B1,Ophthalmic Drugs,,,,,,,,,,,,,,,,
lignocaine (lidocaine),A,Cardiovascular System,Antiarrhythmics,,,,,,,,,,,,,,,
lignocaine (lidocaine),A,Drugs Used in Anaesthesia,Local anaesthetics,,,,,,,,,,,,,,,
linagliptin,B3,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
linagliptin / metformin,C,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
lincomycin,A,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
lindane,B3,Drugs used in Dermatology,Topical antiparasitics,,,,,,,,,,,,,,,
linezolid,B3,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
liothyronine,A,Endocrine System,Thyroid hormones,,,,,,,,,,,,,,,
lipegfilgrastim,B3,Blood and Haemopoietic System,Haemopoietic agents,,,,,,,,,,,,,,,
liraglutide (rys),B3,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
lisdexamfetamine dimesilate,B3,Central Nervous System,CNS stimulants,,,,,,,,,,,,,,,
lisinopril,D,Cardiovascular System,Antihypertensives,Angiotensin converting enzyme (ACE) inhibitors,,,,,,,,,,,,,,
lithium salts,D,Central Nervous System,Antipsychotic drugs,,,,,,,,,,,,,,,
lixisenatide with insulin glargine,B3,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
lodoxamide trometamol,B1,Ophthalmic Drugs,,,,,,,,,,,,,,,,
lomustine,D,Antineoplastic Agents,Alkylating agents,,,,,,,,,,,,,,,
lonoctocog alfa,B2,Cardiovascular System,Haemostatic agents,,,,,,,,,,,,,,,
loperamide,B3,Alimentary System,Antidiarrhoeals,,,,,,,,,,,,,,,
lopinavir with ritonavir,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
loracarbef,B1,Antimicrobials,Antibiotics,Cephalosporins,,,,,,,,,,,,,,
loratadine,B1,Allergy and Immune System,Antihistamines,,,,,,,,,,,,,,,
lorazepam,C,Central Nervous System,Benzodiazepines,,,,,,,,,,,,,,,
lorlatinib,D,Antineoplastic Agents,Tyrosine kinase inhibitors,,,,,,,,,,,,,,,
losartan,D,Cardiovascular System,Antihypertensives,Angiotensin II receptor antagonists and renin inhibitors,,,,,,,,,,,,,,
lumacaftor/ivacaftor,B3,Respiratory System,,,,,,,,,,,,,,,,
lumiracoxib,C,Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),,,,,,,,,,,,,,,
lurasidone hydrochloride,B1,Central Nervous System,Antipsychotic drugs,,,,,,,,,,,,,,,
lutropin alfa,B3,Endocrine System,Pituitary hormones,,,,,,,,,,,,,,,
lypressin,B2,Endocrine System,Antidiuretics,,,,,,,,,,,,,,,
macitentan,X,Cardiovascular System,Endothelin receptor antagonist,,,,,,,,,,,,,,,
macrogol,B1,Alimentary System,Laxatives,,,,,,,,,,,,,,,
malathion,B2,Drugs used in Dermatology,Topical antiparasitics,,,,,,,,,,,,,,,
mannitol,B2,Cardiovascular System,,,,,,,,,,,,,,,,
maraviroc,B1,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
